matricula , nombre , apellido , telefono , especialidad , activo
49-393-6261 , Buffy , Jowitt , +54(340)4493123 , neurologia , true
58-934-7652 , Osmund , Lardez , +54(549)9526986 , cardiologia , true
36-110-3631 , Marylee , McAreavey , +54(648)7154620 , geriatria , false
11-112-1290 , Berti , Hitzke , +54(846)8023022 , alergologia , true
20-363-3758 , Gale , Clineck , +54(493)6520991 , cardiologia , true
68-258-9155 , Deena , Kibbel , +54(249)1092038 , oncologiaradioterapica , true
19-927-3073 , Elke , Shegog , +54(803)4072529 , hepatologia , true
41-167-5330 , Olva , Vasilyonok , +54(621)2195704 , oncologiamedica , true
40-930-7503 , Hunt , Garlinge , +54(288)2576591 , reumatologia , true
81-799-3493 , Loree , Antliff , +54(189)3356468 , nefrologia , true
16-094-5286 , Corrianne , Boobyer , +54(303)1317971 , medicinaintensiva , true
03-926-0288 , Karin , Lechelle , +54(148)5277694 , nutriologia , true
62-815-8666 , Walsh , O'Collopy , +54(402)9120582 , anestesiologia , true
22-686-3013 , Dulcia , Tavernor , +54(874)6775951 , cardiologia , false
05-529-8408 , Ike , Imlacke , +54(145)2974784 , gastroenterologia , true
34-101-5266 , Jayne , Imloch , +54(836)3245997 , genetica , true
60-489-4511 , Cathie , Pavier , +54(681)3837550 , hepatologia , true
91-923-2843 , Marge , Grenshiels , +54(394)6793242 , medicinaintensiva , true
22-191-0858 , Elfie , Hammett , +54(407)9612484 , reumatologia , true
97-308-5896 , Monique , Lathleiffure , +54(911)9022410 , estomatologia , true
04-715-9851 , Judah , Balnaves , +54(953)3735986 , geriatria , true
44-668-0406 , Linell , Scone , +54(910)4775256 , psiquiatria , true
35-225-0290 , Kamillah , Desquesnes , +54(824)7064776 , toxicologia , true
24-293-2604 , Rhonda , Scoggin , +54(181)2733521 , pediatria , true
19-474-8727 , Brendin , Olcot , +54(867)1231258 , oncologiaradioterapica , true
01-114-7331 , Suzanna , Leavold , +54(831)9154237 , geriatria , true
31-461-6325 , Garnet , Beig , +54(855)7352226 , anestesiologia , true
16-928-7938 , Mandi , Canavan , +54(681)4393284 , neurologia , true
89-564-4856 , Lorne , Millson , +54(680)5773772 , farmacologiaclinica , true
31-718-7436 , Latrina , Follan , +54(520)2598023 , medicinaintensiva , true
